time,F: theta1,F: theta1dot,F: theta2,F: theta2dot,F: s,F: E,F: MotorEnable,T: y,T: dy,T: d2y,T: d3y,T: d4y
7.4,0.0,0.0,-0.014137166941154682,-1.7771925382959337,0.0,2.2699591090634957e-07,0.0,0.0,0.0,0.0,0.0,0.0
7.42,0.0,0.0,-0.04948008429403984,-1.7682720499904028,0.0,2.780699908602609e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.44,0.0,0.0,-0.08403760348352757,-1.7241955526993928,0.0,8.021222790020397e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.46,0.0,0.0,-0.11623892818282294,-1.6151900378128197,0.0,1.5346044544729323e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.48,0.0,0.0,-0.1468694565553236,-1.525399028066754,0.0,2.449944447062819e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,-0.17357299411083707,-1.3531452138705047,0.0,3.4218232359803046e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.52,0.0,0.0,-0.19713493901276072,-1.1832156029751815,0.0,4.413879439200575e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.54,0.0,0.0,-0.21598449493429964,-0.976800967239469,0.0,5.298322766139326e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.56,0.0,0.0,-0.23012166187545383,-0.7353142381712752,0.0,6.014620973888199e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.58,0.0,0.0,-0.24033183799962074,-0.5084345445977752,0.0,6.56018182519302e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,-0.24425882881660801,-0.2312760483136507,0.0,6.77631836381834e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.62,0.0,0.0,-0.24425882881660801,0.0037997312590416776,0.0,6.77631836381834e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.64,0.0,0.0,-0.23876104167282583,0.2495603826719421,0.0,6.474708056271498e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.66,0.0,0.0,-0.22776546738526146,0.5087476701995732,0.0,5.892085218278577e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.68,0.0,0.0,-0.21205750411731236,0.7693749592539191,0.0,5.107407995392487e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,-0.192422550032376,0.9668026981913304,0.0,4.205379491405129e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.72,0.0,0.0,-0.16807520696705489,1.1832987958496841,0.0,3.208489116008149e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.74,0.0,0.0,-0.14058627124814396,1.36851993389921,0.0,2.2448074016511703e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.76,0.0,0.0,-0.11074114103904081,1.4944162795974738,0.0,1.392872131089134e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.78,0.0,0.0,-0.07853981633974544,1.5936199582300241,0.0,7.006046632911526e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,-0.04398229715025771,1.6983425165348291,0.0,2.197096224081081e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.82,0.0,0.0,-0.00942477796077,1.7298134299764836,0.0,1.0088707151393769e-07,0.0,0.0,0.0,0.0,0.0,0.0
7.84,0.0,0.0,0.025918139392115166,1.7508236056441349,0.0,7.629584783240163e-07,0.0,0.0,0.0,0.0,0.0,0.0
7.86,0.0,0.0,0.06047565858160288,1.717455385092723,0.0,4.153885048653091e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.88,0.0,0.0,0.09346238144429571,1.6643776259615723,0.0,9.921262636865722e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.12409290981679619,1.5312502423561418,0.0,1.7489894814399882e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.92,0.0,0.0,0.15236724369910457,1.4102271193096143,0.0,2.636795710762527e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.94,0.0,0.0,0.17749998492782312,1.2531756843003858,0.0,3.578408378225828e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.96,0.0,0.0,0.1987057353395544,1.0745079950613412,0.0,4.4845003892602686e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.98,0.0,0.0,0.21598449493429842,0.8824897372404217,0.0,5.298322766139266e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.22776546738526024,0.6291412399100742,0.0,5.892085218278514e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.02,0.0,0.0,0.2356194490192348,0.3900598931946935,0.0,6.305441969620292e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.04,0.0,0.0,0.23797564350942715,0.15188975051265083,0.0,6.43218135320966e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.06,0.0,0.0,0.2356194490192348,-0.1045529610281884,0.0,6.305441969620292e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.08,0.0,0.0,0.22776546738526024,-0.3651826371668422,0.0,5.892085218278514e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.21519909677090096,-0.6189792747470952,0.0,5.259859570124582e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.12,0.0,0.0,0.1987057353395544,-0.8266620709236443,0.0,4.4845003892602686e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.14,0.0,0.0,0.17749998492782312,-1.0295938642631495,0.0,3.578408378225828e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.16,0.0,0.0,0.15315264186250202,-1.2100685444057513,0.0,2.6640492321645527e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.18,0.0,0.0,0.12487830798019366,-1.3775581778549366,0.0,1.7711986492663176e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.09424777960769318,-1.5191980466508266,0.0,1.0088707151392309e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.22,0.0,0.0,0.0620464549083978,-1.6071719401664126,0.0,4.372473703599929e-06,0.0,0.0,0.0,0.0,0.0,0.0
8.24,0.0,0.0,0.028274333882307538,-1.6749441800996567,0.0,9.079836436252811e-07,0.0,0.0,0.0,0.0,0.0,0.0
8.26,0.0,0.0,-0.00628318530718018,-1.7078359857498162,0.0,4.483869845064154e-08,0.0,0.0,0.0,0.0,0.0,0.0
8.28,0.0,0.0,-0.040055306333270445,-1.7005958297317374,0.0,1.8222727292203126e-06,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,-0.07304202919596327,-1.646023062686009,0.0,6.05952973280518e-06,0.0,0.0,0.0,0.0,0.0,0.0
8.32,0.0,0.0,-0.1044579557318612,-1.5531823460602814,0.0,1.2392995888957142e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.34,0.0,0.0,-0.13430308594096432,-1.4716246545464722,0.0,2.0486380959296478e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.36,0.0,0.0,-0.1610066234964778,-1.3407069517447217,0.0,2.9442910974810554e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.38,0.0,0.0,-0.18378317023500398,-1.154049962164172,0.0,3.83623089431702e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,-0.2026327261565429,-0.9607607799356315,0.0,4.663504880731213e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.42,0.0,0.0,-0.21755529126109455,-0.756216301759715,0.0,5.375669520966669e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.0,0.0,-0.22776546738526146,-0.5299412319553012,0.0,5.892085218278577e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.46,0.0,0.0,-0.23326325452904365,-0.2938457989586224,0.0,6.179963674424912e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.48,0.0,0.0,-0.2340486526924411,-0.06730052402730696,0.0,6.221649651890736e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,-0.22933626371205637,0.20770759390546095,0.0,5.973635601085667e-05,0.0,0.0,0.0,0.0,0.0,0.0
