,time,F: theta1,F: theta1dot,F: theta2,F: theta2dot
223,0.223,0.001885322565610961,0.04033404262939032,-0.0003716217688310946,-0.00960092486598265
224,0.224,0.0019260780349594593,0.041157625340825524,-0.00038134529250912906,-0.00980165909646227
225,0.225,0.001967659083477592,0.041988043013246705,-0.0003912742569230909,-0.0100069692940698
226,0.226,0.002010072335378211,0.04282518444847397,-0.0004014126741396333,-0.01021702334268446
227,0.227,0.00205332433860572,0.04366893940373645,-0.00041176463879708815,-0.010431968350853596
228,0.228,0.0020974215648360745,0.04451919859167226,-0.0004223343281054662,-0.010651930651792698
229,0.229,0.002142370409476783,0.04537585368032858,-0.0004331260018464576,-0.010877015803385388
230,0.23,0.0021881771916669067,0.046238797293161535,-0.00044414400237343104,-0.011107308588183427
231,0.231,0.002234848154277058,0.04710792300903631,-0.00045539275461143437,-0.011342873013406711
232,0.232,0.0022823894639094028,0.04798312536222707,-0.0004668767660571944,-0.011583752310943274
233,0.233,0.002330807210897659,0.04886429984241702,-0.00047860062677911703,-0.011829968937349288
234,0.234,0.0023801074093070963,0.04975134289469835,-0.0004905690094172868,-0.012081524573849057
235,0.23500000000000001,0.0024302959969345382,0.050644151919572264,-0.0005027866691834675,-0.012338400126335025
236,0.23600000000000002,0.002481378835308359,0.05154262527294899,-0.0005152584438611017,-0.012600555725367777
237,0.23700000000000002,0.0025333617096884864,0.05244666226614776,-0.0005279892538053114,-0.012867930726176027
238,0.23800000000000002,0.0025862503290664,0.053356163165896836,-0.0005409841019428967,-0.01314044370865663
239,0.23900000000000002,0.002640050326165132,0.05427102919433344,-0.0005542480737723377,-0.013417992477374574
240,0.24,0.002694767257439265,0.05519116252900382,-0.0005677863373637921,-0.013700454061562981
241,0.241,0.0027504066030749398,0.05611646630286331,-0.0005816041433590984,-0.013987684715123131
242,0.242,0.002806973766989843,0.05704684460427617,-0.0005957068249717727,-0.014279519916624416
243,0.243,0.0028644740768332174,0.0579822024770157,-0.0006100997979870105,-0.014575774369304375
244,0.244,0.002922912783985856,0.058922445920264195,-0.000624788560761686,-0.014876242001068681
245,0.245,0.002982295063560106,0.059867481888612996,-0.0006397786942243532,-0.015180695964491148
246,0.246,0.0030426260143998655,0.06081721829206241,-0.0006550758618752437,-0.015488888636813717
247,0.247,0.0031039106590805853,0.061771563996021774,-0.0006706858097862694,-0.01580055161994648
248,0.248,0.0031661539439092707,0.06273042882130947,-0.0006866143666010203,-0.01611539574046765
249,0.249,0.003229360738924475,0.06369372354415283,-0.0007028674435347655,-0.016433111049623597
